Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
999999	136022	668160	27935	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 with 				
999999	136023	668161	27935	Greek	δυνάμει	δυνάμει	dynamei	N-DFS	Noun - Dative Feminine Singular		1411							 power 				
999999	136020	668162	27935	Greek	Υἱοῦ	Υἱοῦ	Huiou	N-GMS	Noun - Genitive Masculine Singular		5207							 [to be the] Son 				
999999	136021	668163	27935	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 of God 				
999999	136027	668164	27935	Greek	ἐξ	ἐξ	ex	Prep	Preposition		1537							 by 				
999999	136028	668165	27935	Greek	ἀναστάσεως	ἀναστάσεως	anastaseōs	N-GFS	Noun - Genitive Feminine Singular		386							 [His] resurrection 				
999999	136029	668166	27935	Greek	νεκρῶν	νεκρῶν	nekrōn	Adj-GMP	Adjective - Genitive Masculine Plural		3498							 [from the] dead 	:			
999999	136030	668167	27935	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 Jesus 				
999999	136031	668168	27935	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 Christ 				
999999	136034	668169	27935	Greek	ἡμῶν	ἡμῶν	hēmōn	PPro-G1P	Personal / Possessive Pronoun - Genitive 1st Person Plural		1473							 our 				
999999	136032	668170	27935	Greek	τοῦ	τοῦ	tou	Art-GMS	Article - Genitive Masculine Singular		3588							 - 				
999999	136033	668171	27935	Greek	Κυρίου	Κυρίου	Kyriou	N-GMS	Noun - Genitive Masculine Singular		2962							 Lord 	.			
999999	136035	668172	27935	Greek																		
999999	136036	668173	27935	Greek																		
999999	136037	668174	27935	Greek																		
999999	136038	668175	27935	Greek																		
999999	136039	668176	27935	Greek																		
999999	136040	668177	27935	Greek																		
999999	136041	668178	27935	Greek																		
999999	136042	668179	27935	Greek																		
999999	136043	668180	27935	Greek																		
999999	136044	668181	27935	Greek																		
999999	136046	668182	27936	Greek	δι’	δι’	di’	Prep	Preposition		1223	Romans 1:5			<p class=|reg|>			 Through 				
999999	136047	668183	27936	Greek	οὗ	οὗ	hou	RelPro-GMS	Personal / Relative Pronoun - Genitive Masculine Singular		3739							 [Him] 				
999999	136059	668184	27936	Greek	ὑπὲρ	ὑπὲρ	hyper	Prep	Preposition		5228							 [and] on behalf of 				
999999	136062	668185	27936	Greek	αὐτοῦ	αὐτοῦ	autou	PPro-GM3S	Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular		846							 His 				
999999	136060	668186	27936	Greek	τοῦ	τοῦ	tou	Art-GNS	Article - Genitive Neuter Singular		3588							 - 				
999999	136061	668187	27936	Greek	ὀνόματος	ὀνόματος	onomatos	N-GNS	Noun - Genitive Neuter Singular		3686							 name 	,			
999999	136048	668188	27936	Greek	ἐλάβομεν	ἐλάβομεν	elabomen	V-AIA-1P	Verb - Aorist Indicative Active - 1st Person Plural		2983							 we received 				
999999	136049	668189	27936	Greek	χάριν	χάριν	charin	N-AFS	Noun - Accusative Feminine Singular		5485							 grace 				
999999	136050	668190	27936	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 and 				
999999	136051	668191	27936	Greek	ἀποστολὴν	ἀποστολὴν	apostolēn	N-AFS	Noun - Accusative Feminine Singular		651							 apostleship 				
999999	136052	668192	27936	Greek	εἰς	εἰς	eis	Prep	Preposition		1519							 to call 				
999999	136056	668193	27936	Greek	πᾶσιν	πᾶσιν	pasin	Adj-DNP	Adjective - Dative Neuter Plural		3956							 all [those] 				
999999	136055	668194	27936	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 among 				
999999	136057	668195	27936	Greek	τοῖς	τοῖς	tois	Art-DNP	Article - Dative Neuter Plural		3588							 the 				
999999	136058	668196	27936	Greek	ἔθνεσιν	ἔθνεσιν	ethnesin	N-DNP	Noun - Dative Neuter Plural		1484							 Gentiles 				
999999	136053	668197	27936	Greek	ὑπακοὴν	ὑπακοὴν	hypakoēn	N-AFS	Noun - Accusative Feminine Singular		5218							 [to the] obedience 				
999999	136054	668198	27936	Greek	πίστεως	πίστεως	pisteōs	N-GFS	Noun - Genitive Feminine Singular		4102							 that comes from faith 	.			
999999	136063	668199	27936	Greek																		
999999	136064	668200	27936	Greek																		
999999	136065	668201	27936	Greek																		
999999	136066	668202	27936	Greek																		
999999	136067	668203	27936	Greek																		
999999	136068	668204	27936	Greek																		
999999	136069	668205	27936	Greek																		
999999	136070	668206	27936	Greek																		
999999	136071	668207	27936	Greek																		
999999	136072	668208	27936	Greek																		
999999	136078	668209	27937	Greek	ὑμεῖς	ὑμεῖς	hymeis	PPro-N2P	Personal / Possessive Pronoun - Nominative 2nd Person Plural		4771	Romans 1:6						 [And] you 				
999999	136077	668210	27937	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 also 				
999999	136076	668211	27937	Greek	ἐστε	ἐστε	este	V-PIA-2P	Verb - Present Indicative Active - 2nd Person Plural		1510							 are 				
999999	136074	668212	27937	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 among 				
999999	136075	668213	27937	Greek	οἷς	οἷς	hois	RelPro-DNP	Personal / Relative Pronoun - Dative Neuter Plural		3739							 those who are 				
999999	136079	668214	27937	Greek	κλητοὶ	κλητοὶ	klētoi	Adj-NMP	Adjective - Nominative Masculine Plural		2822							 called 				
999999	136080	668215	27937	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 [to belong to] Jesus 				
999999	136081	668216	27937	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 Christ 	.			
999999	136082	668217	27937	Greek																		
999999	136083	668218	27937	Greek																		
999999	136084	668219	27937	Greek																		
999999	136085	668220	27937	Greek																		
999999	136086	668221	27937	Greek																		
999999	136087	668222	27937	Greek																		
999999	136088	668223	27937	Greek																		
999999	136089	668224	27937	Greek																		
999999	136090	668225	27937	Greek																		
999999	136091	668226	27937	Greek																		
999999	136093	668227	27938	Greek	Πᾶσιν	Πᾶσιν	Pasin	Adj-DMP	Adjective - Dative Masculine Plural		3956	Romans 1:7			<p class=|reg|>			 To all 				
999999	136094	668228	27938	Greek	τοῖς	τοῖς	tois	Art-DMP	Article - Dative Masculine Plural		3588							 - 				
999999	136095	668229	27938	Greek	οὖσιν	οὖσιν	ousin	V-PPA-DMP	Verb - Present Participle Active - Dative Masculine Plural		1510							 - 				
999999	136096	668230	27938	Greek	ἐν	ἐν	en	Prep	Preposition		1722							 in 				
999999	136097	668231	27938	Greek	Ῥώμῃ	Ῥώμῃ	Rhōmē	N-DFS	Noun - Dative Feminine Singular		4516							 Rome 				
999999	136098	668232	27938	Greek	ἀγαπητοῖς	ἀγαπητοῖς	agapētois	Adj-DMP	Adjective - Dative Masculine Plural		27							 who are loved 				
999999	136099	668233	27938	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 by God 				
999999	136100	668234	27938	Greek	κλητοῖς	κλητοῖς	klētois	Adj-DMP	Adjective - Dative Masculine Plural		2822							 [and] called to be 				
999999	136101	668235	27938	Greek	ἁγίοις	ἁγίοις	hagiois	Adj-DMP	Adjective - Dative Masculine Plural		40							 saints 	:			
999999	136102	668236	27938	Greek	Χάρις	Χάρις	Charis	N-NFS	Noun - Nominative Feminine Singular		5485				<p class=|reg|>			 Grace 				
999999	136104	668237	27938	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 and 				
999999	136105	668238	27938	Greek	εἰρήνη	εἰρήνη	eirēnē	N-NFS	Noun - Nominative Feminine Singular		1515							 peace 				
999999	136103	668239	27938	Greek	ὑμῖν	ὑμῖν	hymin	PPro-D2P	Personal / Possessive Pronoun - Dative 2nd Person Plural		4771							 to you 				
999999	136106	668240	27938	Greek	ἀπὸ	ἀπὸ	apo	Prep	Preposition		575							 from 				
999999	136107	668241	27938	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 God 				
999999	136109	668242	27938	Greek	ἡμῶν	ἡμῶν	hēmōn	PPro-G1P	Personal / Possessive Pronoun - Genitive 1st Person Plural		1473							 our 				
999999	136108	668243	27938	Greek	Πατρὸς	Πατρὸς	Patros	N-GMS	Noun - Genitive Masculine Singular		3962							 Father 				
999999	136110	668244	27938	Greek	καὶ	καὶ	kai	Conj	Conjunction		2532							 and 				
999999	136111	668245	27938	Greek	Κυρίου	Κυρίου	Kyriou	N-GMS	Noun - Genitive Masculine Singular		2962							 [the] Lord 				
999999	136112	668246	27938	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 Jesus 				
999999	136113	668247	27938	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 Christ 	.			
999999	136114	668248	27938	Greek																		
999999	136115	668249	27938	Greek																		
999999	136116	668250	27938	Greek																		
999999	136117	668251	27938	Greek																		
999999	136118	668252	27938	Greek																		
999999	136119	668253	27938	Greek																		
999999	136120	668254	27938	Greek																		
999999	136121	668255	27938	Greek																		
999999	136122	668256	27938	Greek																		
999999	136123	668257	27938	Greek																		
999999	136125	668258	27939	Greek	Πρῶτον	Πρῶτον	Prōton	Adv-S	Adverb - Superlative		4412	Romans 1:8	<p class=|hdg|>Unashamed of the Gospel		<p class=|reg|>			 First 				
999999	136126	668259	27939	Greek	μὲν	μὲν	men	Conj	Conjunction		3303							 - 	,			
999999	136127	668260	27939	Greek	εὐχαριστῶ	εὐχαριστῶ	eucharistō	V-PIA-1S	Verb - Present Indicative Active - 1st Person Singular		2168							 I thank 				
999999	136130	668261	27939	Greek	μου	μου	mou	PPro-G1S	Personal / Possessive Pronoun - Genitive 1st Person Singular		1473							 my 				
999999	136128	668262	27939	Greek	τῷ	τῷ	tō	Art-DMS	Article - Dative Masculine Singular		3588							 - 				
999999	136129	668263	27939	Greek	Θεῷ	Θεῷ	Theō	N-DMS	Noun - Dative Masculine Singular		2316							 God 				
999999	136131	668264	27939	Greek	διὰ	διὰ	dia	Prep	Preposition		1223							 through 				
999999	136132	668265	27939	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 Jesus 				
